Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
HRR(360) (kW/m²),143.669084290635,37,206.874102522485,15.8921944012115,19.3913450340217,0.369093666666661,13.0173402929626,0,0,2.2295257283467,19.1481212159582,0.314840906942166,21.4936109329756,22.7328230937924,0.0071572226402054,0.25242373704611,0.0368529304011995,1.29974361293643,0,0,0.367601728669133,3.92412810014696,60.2574521174783
EHC(60) (MJ/kg),14.2354159883803,38,211.70938861319,13.64672834569,18.2737311333087,0.439871583333324,15.5135636359358,0,0,2.43881747391453,19.0519640286673,0.350904667312743,21.5832167765119,22.9067772411589,0.00803809504701596,0.283490690802566,0.0444505892448102,1.56770082686077,0,0,0.376547665053433,4.29620279700825,64.1794072082772
EHC(120) (MJ/kg),14.4056521409618,39,216.070831532612,12.5735019557456,14.9263336123569,0.487252666666675,17.1846182784325,0,0,2.65270758398744,18.9617896609129,0.31514017392642,21.665427398334,23.0782885138454,0.00727289585617734,0.25650334542489,0.0521060846964068,1.83769784497449,0,0,0.384636958573251,4.67679510882159,68.018143179165
EHC(180) (MJ/kg),14.4147548639876,40,218.703525429341,17.0176581482324,33.9194460329246,0.364393250000009,12.8515641532062,0,0,2.87009476246841,18.7559687381543,0.535306791716893,21.608110243905,23.0895952926263,0.0123600171781373,0.435917936733346,0.0619225412135642,2.18390848605361,0,0,0.389639379823529,5.06393327801998,71.7523690617103
EHC(240) (MJ/kg),14.3610638946418,41,221.707335113302,13.8996126443997,24.0793257557083,0.452263666666665,15.9506124944158,0,0,3.09030019273973,18.6482165842534,0.469259299423253,21.6490796603455,23.2072207637066,0.0108902041571377,0.384079994256109,0.0735476518812016,2.59390745154834,0,0,0.395266947968368,5.45638644191592,75.3731754326764
EHC(300) (MJ/kg),14.6893102546144,42,225.79334932956,13.2432933937041,25.558601732361,0.483425416666666,17.0496373233641,0,0,3.31405053496116,18.6684449235023,0.526475447068132,21.8223619093528,23.4686684074083,0.012355677691884,0.435764890029061,0.0851705928057125,3.00382989369093,0,0,0.40280542842338,5.8554226301118,78.9059651181229
EHC(360) (MJ/kg),15.0297316634505,43,228.075773477312,16.9293714644596,32.6620867863782,0.381990583333338,13.4721938115729,0,0,3.5409850963646,18.5629199302013,0.529380518476022,21.8486444182677,23.5683202327323,0.0124766095844127,0.440029963476502,0.0975867364438609,3.44172732044371,0,0,0.407116062339129,6.26038337549305,82.3484906131302
MLR(60) (g/s),0.2521451625,44,228.266175616982,13.1624154941863,23.6232661864396,0.491722750000001,17.342270931791,0,0,3.76915607091175,18.3494508696515,0.494049351892889,21.7357452144229,23.5120183209885,0.0116160974131781,0.409681082499052,0.109633089942656,3.86658284343148,0,0,0.407647333685729,6.66776507350548,85.662637975267
MLR(120) (g/s),0.335666932638888,45,229.329654227344,13.2002602855384,22.0701134560761,0.492597333333334,17.3731160800357,0,0,3.99795398583391,18.2226158561975,0.461603012645861,21.7154206876083,23.5520105740035,0.0108716790348272,0.383426642971968,0.120876978166659,4.26313670616699,0,0,0.409728504616738,7.07645299265672,88.8434219074202
MLR(180) (g/s),0.336633307175926,46,231.467847247468,16.7762351492474,33.2989520442484,0.391210500000004,13.7973654510829,0,0,4.22835273657132,18.1985568254715,0.549267157523591,21.8071694158757,23.7168734745388,0.0130268996787066,0.459437810492579,0.132826267523426,4.68456893289927,0,0,0.413718779089156,7.48817663450966,91.9207116645938
MLR(240) (g/s),0.3491074671875,47,232.508224709186,13.1214613751519,27.0844883072767,0.502424083333321,17.7196897557072,0,0,4.46034077254964,18.1284192352126,0.571746016758826,21.8332242094622,23.8006016858281,0.0136078992103356,0.479928729997023,0.146143666967947,5.15425220314407,0,0,0.415714214196042,7.90289313115226,94.9008675010562
MLR(300) (g/s),0.319979087222222,48,234.287619536903,14.2908352649351,21.2317438488565,0.464842749999997,16.3942565422867,0,0,4.69373869467269,18.1197082474784,0.411923782336261,21.9245715024661,23.9593405897147,0.00986942219799795,0.34807865549827,0.157882327672114,5.56825589589172,0,0,0.41902984890406,8.32026516270231,97.786222805681
MLR(360) (g/s),0.271182759606481,49,235.464911819064,15.890036043058,35.6499704134645,0.420160916666673,14.8184001081566,0,0,4.92861496035067,18.0762605546132,0.622577275680512,21.9665829635226,24.0592209725105,0.014978724248061,0.528275525430663,0.170306400895143,6.00643298635618,0,0,0.421259833657532,8.74041000398311,100.583978782667
SEA(60) (m²/kg),18.2468977233225,50,236.945546606467,12.9866785217005,25.8736476761555,0.517326583333337,18.2452769744423,0,0,5.16482018956344,18.0349899811443,0.554035670249659,22.0080904159825,24.1593212665251,0.0133851257506761,0.472071868190593,0.184488325894512,6.50660668316681,0,0,0.424054433395776,9.16306713750976,103.296403791269
SEA(120) (m²/kg),20.9109171729437,51,238.270619404943,15.5497156823461,26.040625935743,0.434472583333333,15.3231495850086,0,0,5.40242827256914,17.9820733357884,0.466951467494568,22.0261502146184,24.2293660251766,0.0113139380219192,0.399024406500644,0.196837857780809,6.94215482051243,0,0,0.426573035807707,9.5883808721115,105.929966128807
SEA(180) (m²/kg),21.0075465248664,52,238.482922133195,15.0903397511394,27.0836243282392,0.448097583333342,15.8036814323673,0,0,5.64080504333821,17.8788527876943,0.500830250477871,21.9827360883696,24.2319759994775,0.0121361066093921,0.428020970917405,0.208562880096465,7.35567750922145,0,0,0.427069046967643,10.0152019134992,108.477020064196
SEA(240) (m²/kg),22.6325805790747,53,239.227655016539,12.5550065043511,21.3803213957878,0.540267416666662,19.0543632879545,0,0,5.87966033191308,17.8308282226242,0.475385778797281,21.999467671056,24.2983520399566,0.0115510910080053,0.407388411088568,0.220406478905164,7.77338220022444,0,0,0.428504982481371,10.4429889282237,110.936987394586
SEA(300) (m²/kg),25.3257480982503,54,240.33467646261,16.0182661768178,30.0223537595945,0.425417416666665,15.0037884131574,0,0,6.11944149765265,17.8353546985227,0.522861461276509,22.0784778021618,24.4271821975135,0.0127720321786595,0.450449043473917,0.232568040498496,8.20230092750568,0,0,0.430565505754024,10.8725241723414,113.322990697271
SEA(360) (m²/kg),23.7604959153236,55,241.593709761231,14.2913903812048,28.5194271480524,0.479319916666673,16.9048429380924,0,0,6.36040569076457,17.870534459329,0.555848514396779,22.186793115205,24.5929045233137,0.0136699294439857,0.482116436622195,0.245789021309819,8.66858366755374,0,0,0.432879541026375,11.3042466957316,115.643739832083
COY(60) (kg/kg),,56,240.883005925639,13.4206584247891,24.0401691224637,0.508916666666668,17.9486727328302,0,0,6.60164404860801,17.7681249557234,0.497994412863337,22.1261063155138,24.5674297138443,0.0122344427359072,0.431489128020991,0.258741207399765,9.12538644987533,0,0,0.431656445730674,11.7365146891101,117.886500868
COY(120) (kg/kg),,57,240.497630913347,18.0225717962911,32.9052493531054,0.378362749999995,13.3442459617689,0,0,6.8423343670275,17.698218524776,0.506220894523163,22.1054505391327,24.5942448630137,0.0124501206346765,0.439095740801174,0.271083489085057,9.56067888428641,0,0,0.431007968551509,12.1678468962512,120.0409538075
COY(180) (kg/kg),,58,239.570717193567,13.9196216304371,24.7105202519659,0.488000916666662,17.2110078530952,0,0,7.08236854108096,17.6180014750514,0.490372384495352,22.0675123488683,24.5910188166066,0.0120587565342695,0.425292958110653,0.28333792766953,9.99287323374233,0,0,0.429359024441572,12.5980303927477,122.10980243243
COY(240) (kg/kg),,59,239.616678405684,13.6639491973289,19.8499142245628,0.497227499999995,17.5364146152217,0,0,7.32196223888058,17.6134317964644,0.399969307073225,22.1151500761119,24.6767015632196,0.00986992322509371,0.34809632591852,0.294302267549212,10.3795678757569,0,0,0.429449500678078,13.0274346553076,124.101054896281
COY(300) (kg/kg),,60,239.732214787365,16.5470073648441,29.319092106441,0.410791333333342,14.4879499659075,0,0,7.56163668547711,17.6364346358673,0.485620677606732,22.1951662297886,24.801309939857,0.0120440289385279,0.424773539483951,0.305259243631022,10.7660028084581,0,0,0.429641782081589,13.4569802966874,126.027278091285
COY(360) (kg/kg),,61,239.063163492434,13.0009034139717,20.5128126119393,0.521378916666661,18.3881962568477,0,0,7.80103437461701,17.6023989068596,0.430575613334451,22.2039663562296,24.838722134251,0.0106949480173991,0.377193624088281,0.316628732108986,11.1669863902443,0,0,0.428427278831953,13.8860148271442,127.885809419951
CO2Y(60) (kg/kg),,62,237.822231916736,14.6097075361067,23.332045672935,0.461556916666665,16.2783704827067,0,0,8.03947707232159,17.5342765765445,0.433984871542401,22.1570577891206,24.8143835568552,0.0107690670603257,0.379807683583469,0.327360739647848,11.5454870440801,0,0,0.4261797975266,14.3133183653234,129.668985037445
CO2Y(120) (kg/kg),,63,236.899646450501,16.064927058358,27.0161291230972,0.418119083333334,14.7463879288049,0,0,8.27683801150521,17.4870041544577,0.455270132689662,22.1300501705082,24.8115532583473,0.0112959591441644,0.398390320383875,0.338393252750093,11.9345860460638,0,0,0.424505511205945,14.7386610196897,131.378381135003
