General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,1705,20.88511687,133.954089,0,0,1.002616,0.996226,-3.736788,0.0127,0,0,890.929,364.544,371.787,1063.325,0,0
,,1706,20.88519172,134.856657,0,0,1.003054,0.995732,-3.759885,0.0144,0,0,886.291,364.505,371.746,1063.351,0,0
,,1707,20.88519172,135.718996,0,0,1.003446,0.991139,-3.801456,0.0119,0,0,883.634,364.503,371.735,1063.377,0,0
,,1708,20.8854856,135.02717,0,0,1.002856,0.997311,-3.740184,0.0101,0,0,893.363,364.479,371.717,1063.38,0,0
,,1709,20.8849727,134.465944,0,0,1.002503,0.992093,-3.784428,0.0124,0,0,896.789,364.456,371.684,1063.353,0,0
,,1710,20.8859985,134.354876,0,0,1.002364,0.987196,-3.824066,0.0104,0,0,884.449,364.473,371.691,1063.366,0,0
,,1711,20.88688566,134.348672,0,0,1.0028,1.001224,-3.764465,0.0117,0,0,892.748,364.472,371.714,1063.405,0,0
,,1712,20.88732924,135.086427,0,0,1.002595,0.988633,-3.806595,0.0124,0,0,905.29,364.473,371.69,1063.437,0,0
,,1713,20.88769797,135.45634,0,0,1.002628,0.994416,-3.798557,0.0136,0,0,903.188,364.446,371.677,1063.434,0,0
,,1714,20.88689119,134.717461,0,0,1.003025,1.001152,-3.785867,0.0099,0,0,892.244,364.412,371.647,1063.466,0,0
,,1715,20.88637276,133.950599,0,0,1.002521,0.989176,-3.801613,0.0119,0,0,903.545,364.405,371.638,1063.504,0,0
,,1716,20.88659179,135.133244,0,0,1.002461,0.994919,-3.752756,0.0143,0,0,900.291,364.384,371.61,1063.502,0,0
,,1717,20.88725439,134.96206,0,0,1.003243,0.995679,-3.752396,0.014,0,0,893.735,364.353,371.558,1063.52,0,0
,,1718,20.88740409,134.708077,0,0,1.002884,0.99241,-3.797987,0.0119,0,0,906.514,364.33,371.539,1063.531,0,0
,,1719,20.88740409,135.264573,0,0,1.003387,0.994995,-3.780167,0.0124,0,0,894.037,364.328,371.547,1063.474,0,0
,,1720,20.88711022,135.109825,0,0,1.002839,0.998052,-3.784406,0.0112,0,0,914.372,364.337,371.558,1063.449,0,0
,,1721,20.88644761,133.771503,0,0,1.003025,0.991759,-3.812075,0.0089,0,0,917.944,364.322,371.516,1063.444,0,0
,,1722,20.88659179,134.066338,0,0,1.002154,0.995321,-3.78127,0.0108,0,0,903.95,364.3,371.509,1063.456,0,0
,,1723,20.88754827,134.861843,0,0,1.002666,1.000875,-3.795702,0.013,0,0,898.788,364.291,371.481,1063.442,0,0
,,1724,20.88894833,134.834633,0,0,1.003066,0.988235,-3.805197,0.0153,0,0,896.936,364.296,371.499,1063.461,0,0
,,1725,20.88924774,134.725842,0,0,1.002843,0.995578,-3.810332,0.0128,0,0,894.917,364.308,371.515,1063.503,0,0
,,1726,20.88865998,135.474052,0,0,1.002796,0.99502,-3.809712,0.0144,0,0,897.133,364.298,371.531,1063.545,0,0
,,1727,20.8882164,135.823393,0,0,1.002756,0.985994,-3.799893,0.0127,0,0,903.557,364.326,371.515,1063.559,0,0
,,1728,20.88872931,134.442076,0,0,1.00302,0.999169,-3.825655,0.0127,0,0,900.272,364.301,371.512,1063.574,0,0
,,1729,20.88917289,135.255128,0,0,1.002217,0.993987,-3.793161,0.0143,0,0,902.887,364.318,371.519,1063.584,0,0
,,1730,20.88954161,134.763663,0,0,1.002362,0.991014,-3.784764,0.013,0,0,903.265,364.315,371.511,1063.563,0,0
,,1731,20.88961647,134.781656,0,0,1.002456,0.998144,-3.829982,0.0125,0,0,906.519,364.317,371.539,1063.599,0,0
,,1732,20.88873484,135.534528,0,0,1.001813,0.992704,-3.797032,0.0124,0,0,905.065,364.316,371.566,1063.61,0,0
,,1733,20.8882164,135.317203,0,0,1.0022,0.992615,-3.850135,0.0119,0,0,907.7,364.329,371.554,1063.619,0,0
,,1734,20.88872931,135.506079,0,0,1.002203,0.997046,-3.843935,0.0117,0,0,899.467,364.34,371.587,1063.579,0,0
,,1735,20.88917289,135.487445,0,0,1.001984,0.993637,-3.790835,0.0116,0,0,908.71,364.328,371.556,1063.525,0,0
,,1736,20.891011,134.112518,0,0,1.002649,0.989414,-3.861945,0.0117,0,0,900.801,364.334,371.527,1063.514,0,0
,,1737,20.89116623,133.260163,0,0,1.002371,0.999462,-3.850715,0.014,0,0,896.513,364.308,371.501,1063.508,0,0
,,1738,20.8907975,134.406593,0,0,1.002759,0.989618,-3.829663,0.0107,0,0,901.682,364.225,371.403,1063.498,0,0
,,1739,20.89072265,136.119015,0,0,1.002865,0.991935,-3.887822,0.0107,0,0,901.699,364.208,371.383,1063.458,0,0
,,1740,20.89101653,135.925807,0,0,1.002492,1.001747,-3.855697,0.0125,0,0,897.781,364.187,371.351,1063.457,0,0
,,1741,20.89167913,135.946237,0,0,1.001755,0.987523,-3.833292,0.012,0,0,898.942,364.145,371.273,1063.465,0,0
,,1742,20.89124108,135.414885,0,0,1.002464,0.99419,-3.890398,0.0143,0,0,892.094,364.089,371.252,1063.438,0,0
,,1743,20.8907975,135.244813,0,0,1.002319,0.996729,-3.848027,0.0135,0,0,881.378,364.083,371.282,1063.432,0,0
,,1744,20.89042878,133.876223,0,0,1.00257,0.990922,-3.818432,0.0126,0,0,885.091,364.116,371.29,1063.418,0,0
,,1745,20.89006005,133.135062,0,0,1.003186,0.992112,-3.896092,0.0145,0,0,879.836,364.074,371.261,1063.382,0,0
,,1746,20.89086682,133.432944,0,0,1.002402,0.994999,-3.849881,0.0157,0,0,875.531,364.094,371.262,1063.406,0,0
,,1747,20.89138526,134.353259,0,0,1.002282,0.990476,-3.847755,0.0126,0,0,889.982,364.062,371.214,1063.414,0,0
,,1748,20.89116623,134.511701,0,0,1.002151,0.990728,-3.900176,0.0132,0,0,898.304,364.061,371.228,1063.359,0,0
,,1749,20.8907975,134.677814,0,0,1.002018,0.999085,-3.826831,0.0142,0,0,901.692,364.089,371.275,1063.347,0,0
,,1750,20.89042878,135.176245,0,0,1.002799,0.99116,-3.872386,0.0141,0,0,914.261,364.097,371.257,1063.373,0,0
,,1751,20.8906478,134.434953,0,0,1.002452,0.995702,-3.921538,0.013,0,0,912.847,364.102,371.273,1063.408,0,0
,,1752,20.89072265,134.104146,0,0,1.002932,0.997947,-3.868693,0.0125,0,0,913.945,364.093,371.261,1063.446,0,0
,,1753,20.89277979,135.163865,0,0,1.002493,0.987667,-3.906046,0.0116,0,0,918.998,364.092,371.249,1063.46,0,0
,,1754,20.89359763,135.307519,0,0,1.002088,0.998067,-3.939138,0.0132,0,0,911.701,364.044,371.235,1063.5,0,0
,,1755,20.8933786,135.429386,0,0,1.002322,0.994092,-3.874186,0.0113,0,0,917.967,364.046,371.199,1063.487,0,0
,,1756,20.89212825,135.429606,0,0,1.002421,0.99179,-3.883242,0.0116,0,0,922.783,364.027,371.198,1063.481,0,0
,,1757,20.89241659,134.928216,0,0,1.002795,1.002072,-3.877717,0.0129,0,0,918.763,364.011,371.188,1063.509,0,0
,,1758,20.89286017,135.352771,0,0,1.002934,0.989683,-3.824237,0.0144,0,0,903.284,364.007,371.22,1063.545,0,0
,,1759,20.89352278,134.806433,0,0,1.003222,0.992928,-3.878809,0.0143,0,0,899.157,363.992,371.17,1063.557,0,0
,,1760,20.8933786,134.60724,0,0,1.002947,0.996499,-3.89512,0.0126,0,0,905.036,363.97,371.153,1063.521,0,0
,,1761,20.89330375,134.653561,0,0,1.002584,0.987663,-3.853105,0.0117,0,0,888.629,363.982,371.161,1063.483,0,0
,,1762,20.892716,134.546087,0,0,1.003363,0.991488,-3.911126,0.0142,0,0,889.348,363.973,371.19,1063.478,0,0
,,1763,20.89256629,134.818473,0,0,1.002477,0.992402,-3.893642,0.0142,0,0,897.571,363.987,371.162,1063.407,0,0
,,1764,20.89315405,135.352691,0,0,1.002196,0.989358,-3.89028,0.0143,0,0,898.558,363.978,371.163,1063.408,0,0
,,1765,20.89330375,135.221876,0,0,1.002679,0.993712,-3.90875,0.0123,0,0,902.032,363.989,371.174,1063.426,0,0
,,1766,20.89300988,134.884234,0,0,1.002595,0.997662,-3.898169,0.0122,0,0,892.799,364.003,371.155,1063.442,0,0
,,1767,20.89264115,134.061669,0,0,1.002887,0.988608,-3.895648,0.0147,0,0,895.075,363.977,371.145,1063.481,0,0
,,1768,20.89227242,134.288852,0,0,1.0024,0.99785,-3.920709,0.013,0,0,896.442,364.007,371.199,1063.477,0,0
,,1769,20.89249144,134.208766,0,0,1.002461,0.996191,-3.898008,0.0135,0,0,895.984,364.062,371.242,1063.46,0,0
,,1770,20.89344792,134.584876,0,0,1.002881,0.988375,-3.89574,0.0136,0,0,900.843,364.057,371.218,1063.445,0,0
,,1771,20.8933786,135.519909,0,0,1.003641,1.00128,-3.873157,0.0123,0,0,905.22,364.012,371.201,1063.522,0,0
,,1772,20.89300988,136.625672,0,0,1.002547,0.990182,-3.86494,0.0136,0,0,907.687,363.988,371.155,1063.594,0,0
,,1773,20.89264115,135.705523,0,0,1.00234,0.992377,-3.881886,0.0159,0,0,903.083,363.967,371.115,1063.685,0,0
,,1774,20.89256629,134.958151,0,0,1.003196,1.002744,-3.920033,0.0123,0,0,910.094,363.872,371.012,1063.72,0,0
,,1775,20.89344792,135.510427,0,0,1.00196,0.988855,-3.882979,0.0147,0,0,922.892,363.84,370.985,1063.757,0,0
,,1776,20.89514186,135.392192,0,0,1.002786,0.992924,-3.913579,0.0137,0,0,905.861,363.807,370.949,1063.798,0,0
,,1777,20.89522225,134.983629,0,0,1.002676,0.995892,-3.911541,0.0128,0,0,908.347,363.809,370.973,1063.82,0,0
,,1778,20.89514739,135.007116,0,0,1.002525,0.987494,-3.909559,0.014,0,0,910.098,363.839,371,1063.797,0,0
,,1779,20.89426576,136.060067,0,0,1.003019,0.991046,-3.927372,0.0142,0,0,908.365,363.8,370.974,1063.826,0,0
,,1780,20.89433509,135.454937,0,0,1.002849,0.993174,-3.944196,0.0159,0,0,912.597,363.811,370.96,1063.839,0,0
,,1781,20.89440994,135.725626,0,0,1.002428,0.987816,-3.910241,0.0128,0,0,916.353,363.776,370.912,1063.859,0,0
,,1782,20.89529157,135.202189,0,0,1.002295,0.991935,-3.966044,0.014,0,0,918.304,363.732,370.852,1063.824,0,0
,,1783,20.89551612,135.441802,0,0,1.002191,0.997766,-3.932763,0.0139,0,0,910.356,363.714,370.846,1063.797,0,0
,,1784,20.89492837,135.142503,0,0,1.002397,0.986952,-3.914507,0.0132,0,0,917.048,363.734,370.865,1063.797,0,0
,,1785,20.89448479,134.248606,0,0,1.002134,0.994967,-3.926744,0.0137,0,0,908.664,363.734,370.865,1063.749,0,0
,,1786,20.89440994,134.618008,0,0,1.002696,0.99734,-3.914012,0.0132,0,0,914.844,363.712,370.849,1063.708,0,0
,,1787,20.89470381,134.83348,0,0,1.003319,0.986835,-3.926519,0.0122,0,0,913.195,363.711,370.841,1063.658,0,0
,,1788,20.89536642,135.10402,0,0,1.002609,1.00011,-3.984071,0.0124,0,0,925.023,363.714,370.834,1063.629,0,0
,,1789,20.89522225,135.095595,0,0,1.002076,0.990897,-3.934525,0.015,0,0,915.316,363.711,370.809,1063.602,0,0
,,1790,20.89514739,136.217991,0,0,1.002018,0.991939,-3.953424,0.0124,0,0,928.825,363.684,370.799,1063.547,0,0
,,1791,20.89455964,135.711354,0,0,1.002782,1.002575,-3.972139,0.0141,0,0,929.058,363.672,370.773,1063.506,0,0
,,1792,20.89411606,135.323222,0,0,1.002171,0.99217,-3.932839,0.0131,0,0,924.093,363.696,370.784,1063.445,0,0
,,1793,20.89462896,135.722094,0,0,1.002195,0.995538,-3.970389,0.0136,0,0,914.776,363.671,370.748,1063.406,0,0
,,1794,20.89507254,136.154316,0,0,1.002897,0.998555,-3.979252,0.0124,0,0,915.133,363.654,370.779,1063.409,0,0
,,1795,20.89544127,134.820206,0,0,1.002648,0.992258,-3.916115,0.0136,0,0,912.838,363.727,370.816,1063.366,0,0
,,1796,20.89639775,134.877577,0,0,1.002381,0.993222,-3.988116,0.0136,0,0,917.734,363.744,370.84,1063.326,0,0
,,1797,20.89603456,135.227092,0,0,1.002249,0.996552,-3.964005,0.0124,0,0,914.403,363.769,370.864,1063.337,0,0
,,1798,20.89617873,135.827033,0,0,1.00257,0.990593,-3.945339,0.0128,0,0,912.122,363.754,370.886,1063.285,0,0
,,1799,20.89713521,134.946053,0,0,1.00252,0.996201,-3.995209,0.0142,0,0,896.268,363.753,370.888,1063.298,0,0
,,1800,20.89765364,135.398858,0,0,1.002094,0.995185,-3.95248,0.0129,0,0,884.975,363.769,370.893,1063.296,0,0
,,1801,20.89714074,135.673624,0,0,1.00227,0.990251,-3.963838,0.0135,0,0,884.491,363.781,370.899,1063.23,0,0
,,1802,20.89699104,135.390796,0,0,1.002318,0.9967,-3.998507,0.0139,0,0,893.79,363.793,370.933,1063.229,0,0
,,1803,20.89610941,135.824975,0,0,1.001875,0.994192,-3.952363,0.0148,0,0,897.289,363.802,370.938,1063.227,0,0
,,1804,20.89676648,135.51426,0,0,1.002775,0.990411,-3.989539,0.0144,0,0,885.411,363.81,370.95,1063.202,0,0
,,1805,20.89699104,135.380599,0,0,1.002412,1.000793,-3.98967,0.015,0,0,902.054,363.793,370.949,1063.215,0,0
,,1806,20.89669716,134.518189,0,0,1.001932,0.990342,-3.970202,0.0146,0,0,914.695,363.805,370.933,1063.196,0,0
,,1807,20.89721006,134.976978,0,0,1.002517,0.992711,-3.966927,0.0171,0,0,902.188,363.824,370.962,1063.224,0,0
,,1808,20.89706589,134.640598,0,0,1.002319,1.002137,-3.995723,0.0151,0,0,892.923,363.849,370.99,1063.286,0,0
,,1809,20.89610941,135.022919,0,0,1.001697,0.986474,-3.962057,0.0147,0,0,900.385,363.864,371.001,1063.273,0,0
,,1810,20.89617873,134.238302,0,0,1.002619,0.99612,-3.997692,0.0145,0,0,896.554,363.893,371.068,1063.286,0,0
,,1811,20.89713521,134.030308,0,0,1.00275,0.995523,-3.980419,0.0133,0,0,903.755,363.934,371.107,1063.249,0,0
,,1812,20.89706589,134.873759,0,0,1.003037,0.989366,-3.965357,0.0156,0,0,911.31,363.933,371.069,1063.232,0,0
,,1813,20.89846042,135.107223,0,0,1.002912,1.002004,-4.013728,0.0134,0,0,917.041,363.855,371.008,1063.211,0,0
,,1814,20.8985408,135.768176,0,0,1.002699,0.992283,-3.989013,0.0147,0,0,925.501,363.834,370.985,1063.212,0,0
,,1815,20.8978782,135.364907,0,0,1.002474,0.990893,-3.994383,0.015,0,0,924.148,363.825,370.967,1063.208,0,0
,,1816,20.89831625,134.380864,0,0,1.002863,0.998477,-4.021641,0.0139,0,0,921.366,363.814,370.996,1063.204,0,0
,,1817,20.89905371,133.574272,0,0,1.002308,0.989224,-3.961082,0.0142,0,0,926.149,363.816,370.995,1063.181,0,0
,,1818,20.89949729,134.87043,0,0,1.001909,0.992598,-3.990626,0.0148,0,0,925.626,363.815,370.982,1063.128,0,0
,,1819,20.89927826,135.592343,0,0,1.003183,0.994175,-4.013557,0.0152,0,0,914.363,363.81,371.01,1063.118,0,0
,,1820,20.89861566,135.925417,0,0,1.003063,0.989752,-3.97586,0.0133,0,0,913.287,363.811,370.983,1063.136,0,0
,,1821,20.89846595,135.296176,0,0,1.002923,0.993933,-4.007767,0.0133,0,0,920.974,363.812,370.942,1063.14,0,0
,,1822,20.89875983,135.033958,0,0,1.002412,0.995727,-4.000181,0.0148,0,0,906.771,363.818,370.963,1063.079,0,0
,,1823,20.89912856,135.104022,0,0,1.002306,0.989869,-3.976315,0.0111,0,0,900.108,363.811,370.954,1063.063,0,0
,,1824,20.89861566,135.438881,0,0,1.003162,0.9983,-3.999578,0.0152,0,0,904.172,363.807,370.973,1063.019,0,0
,,1825,20.89846595,135.190301,0,0,1.002919,0.997739,-4.007175,0.0108,0,0,910.762,363.784,370.946,1063.025,0,0
,,1826,20.89846595,134.851336,0,0,1.002917,0.989211,-4.040124,0.0135,0,0,905.114,363.751,370.904,1063.065,0,0
,,1827,20.89817208,135.154679,0,0,1.003153,0.999181,-4.048915,0.0111,0,0,916.5,363.748,370.881,1063.119,0,0
,,1828,20.8983911,135.476157,0,0,1.003343,0.991164,-4.016183,0.015,0,0,904.506,363.758,370.881,1063.176,0,0
,,1829,20.89875983,135.393016,0,0,1.002942,0.990338,-4.017629,0.0134,0,0,911.102,363.707,370.861,1063.175,0,0
,,1830,20.89971631,134.941973,0,0,1.002762,1.002567,-4.045717,0.0118,0,0,917.264,363.719,370.896,1063.146,0,0
,,1831,20.89935311,135.181302,0,0,1.003043,0.988083,-4.001053,0.0158,0,0,913.816,363.736,370.924,1063.134,0,0
,,1832,20.8980279,135.096146,0,0,1.00259,0.999333,-4.024696,0.0114,0,0,919.115,363.724,370.944,1063.117,0,0
,,1833,20.89802237,135.175332,0,0,1.002938,0.997582,-4.011435,0.0171,0,0,925.043,363.764,370.966,1063.146,0,0
,,1834,20.89897885,135.737542,0,0,1.003589,0.988379,-4.015915,0.0178,0,0,917.225,363.765,370.971,1063.19,0,0
,,1835,20.89949729,135.643733,0,0,1.00315,1.000118,-4.034301,0.0157,0,0,925.302,363.761,370.958,1063.249,0,0
,,1836,20.89898438,135.319993,0,0,1.003624,0.992994,-4.017849,0.014,0,0,917.036,363.767,370.949,1063.262,0,0
,,1837,20.89883468,135.414113,0,0,1.002886,0.993165,-4.003251,0.0131,0,0,918.427,363.777,370.985,1063.285,0,0
,,1838,20.89765917,135.544575,0,0,1.003347,1.002081,-4.040953,0.0145,0,0,926.969,363.762,370.942,1063.266,0,0
,,1839,20.89765364,135.520617,0,0,1.003913,0.993549,-4.002968,0.0133,0,0,929.28,363.74,370.931,1063.246,0,0
,,1840,20.90007951,135.563656,0,0,1.00392,0.995268,-4.029078,0.0155,0,0,931.94,363.722,370.919,1063.242,0,0
,,1841,20.9009722,135.572844,0,0,1.003828,0.998607,-4.044827,0.0137,0,0,934.305,363.723,370.926,1063.291,0,0
,,1842,20.90134093,134.879091,0,0,1.003167,0.993641,-3.996445,0.0127,0,0,932.499,363.738,370.942,1063.276,0,0
,,1843,20.9011219,135.066299,0,0,1.003624,0.992454,-4.057524,0.0117,0,0,925.998,363.713,370.914,1063.265,0,0
,,1844,20.90075318,134.642522,0,0,1.003529,1.000251,-4.065228,0.013,0,0,929.764,363.683,370.877,1063.293,0,0
,,1845,20.90067832,135.015365,0,0,1.003694,0.991164,-4.018899,0.0134,0,0,926.474,363.681,370.894,1063.301,0,0
,,1846,20.90067832,134.965293,0,0,1.004304,0.995204,-4.050896,0.0143,0,0,933.949,363.697,370.906,1063.339,0,0
,,1847,20.9009722,134.925312,0,0,1.004238,1.001816,-4.049072,0.0135,0,0,919.879,363.678,370.871,1063.359,0,0
,,1848,20.90134093,136.328927,0,0,1.004484,0.98846,-4.038988,0.0138,0,0,917.31,363.682,370.88,1063.364,0,0
,,1849,20.90053415,134.983095,0,0,1.004767,1.002213,-4.049193,0.0122,0,0,909.439,363.656,370.828,1063.364,0,0
,,1850,20.90030959,135.286501,0,0,1.005417,0.997816,-4.061619,0.0113,0,0,910.997,363.615,370.785,1063.364,0,0
,,1851,20.90030959,134.640274,0,0,1.005109,0.990476,-4.049933,0.0121,0,0,903.186,363.61,370.787,1063.328,0,0
,,1852,20.90089735,134.436435,0,0,1.005107,1.003556,-4.067675,0.0127,0,0,915.451,363.603,370.761,1063.288,0,0
,,1853,20.90075318,134.333902,0,0,1.004585,0.990632,-4.056045,0.0139,0,0,904.264,363.582,370.751,1063.286,0,0
,,1854,20.90038445,134.311693,0,0,1.005455,0.995695,-4.021419,0.0143,0,0,901.813,363.575,370.738,1063.319,0,0
,,1855,20.90060347,134.647932,0,0,1.005047,1.002705,-4.041427,0.0133,0,0,881.866,363.581,370.754,1063.355,0,0
,,1856,20.90038445,135.468046,0,0,1.005612,0.991945,-4.020767,0.0128,0,0,902.061,363.568,370.74,1063.317,0,0
,,1857,20.90060347,134.078901,0,0,1.006098,0.99797,-4.027351,0.0149,0,0,897.056,363.56,370.708,1063.347,0,0
,,1858,20.90067832,134.574562,0,0,1.006059,0.998068,-4.043623,0.0151,0,0,891.53,363.526,370.697,1063.325,0,0
,,1859,20.9009722,134.533206,0,0,1.006696,0.993966,-4.026412,0.0156,0,0,893.581,363.523,370.683,1063.386,0,0
,,1860,20.90104705,134.512196,0,0,1.007072,0.999258,-4.047641,0.0133,0,0,879.945,363.466,370.671,1063.39,0,0
,,1861,20.9004593,135.384431,0,0,1.006941,0.998623,-4.063333,0.0111,0,0,903.635,363.474,370.634,1063.405,0,0
,,1862,20.89972184,136.126749,0,0,1.007055,0.991868,-4.060069,0.0128,0,0,909.534,363.447,370.568,1063.459,0,0
,,1863,20.90074764,135.421233,0,0,1.007096,1.000021,-4.029229,0.0115,0,0,892.432,363.425,370.59,1063.513,0,0
,,1864,20.90134093,136.39453,0,0,1.006958,1.002058,-4.031967,0.013,0,0,885.034,363.418,370.593,1063.506,0,0
,,1865,20.9011219,135.86562,0,0,1.008026,0.992877,-4.044811,0.015,0,0,893.644,363.415,370.572,1063.485,0,0
,,1866,20.90104705,135.194842,0,0,1.007549,1.006049,-4.082391,0.0119,0,0,908.837,363.396,370.582,1063.494,0,0
,,1867,20.90075318,134.384713,0,0,1.007746,0.999819,-4.067416,0.0128,0,0,900.423,363.404,370.558,1063.48,0,0
,,1868,20.90009057,133.755281,0,0,1.00819,0.996343,-4.069437,0.0121,0,0,890.03,363.398,370.553,1063.45,0,0
,,1869,20.90052862,133.851087,0,0,1.008876,1.008945,-4.085147,0.0127,0,0,891.644,363.457,370.611,1063.434,0,0
,,1870,20.90125739,134.591554,0,0,1.009594,0.994999,-4.055427,0.0124,0,0,898.819,363.499,370.641,1063.447,0,0
,,1871,20.90112304,134.509874,0,0,1.009611,1.002187,-4.078211,0.0132,0,0,913.225,363.527,370.7,1063.456,0,0
,,1872,20.90104705,134.781196,0,0,1.009208,1.007708,-4.154726,0.0134,0,0,913.845,363.545,370.673,1063.462,0,0
,,1873,20.90016542,135.392073,0,0,1.009734,0.995058,-4.102584,0.0109,0,0,903.242,363.492,370.63,1063.587,0,0
,,1874,20.89994087,135.825604,0,0,1.009915,1.00539,-4.202596,0.0119,0,0,912.505,363.465,370.597,1063.71,0,0
,,1875,20.90052862,136.271472,0,0,1.009508,1.001363,-4.140027,0.015,0,0,914.187,363.326,370.417,1063.775,0,0
,,1876,20.9009722,136.531405,0,0,1.01039,0.996351,-4.102803,0.0129,0,0,910.61,363.189,370.266,1063.737,0,0
,,1877,20.90075318,136.395104,0,0,1.010527,1.0064,-4.124066,0.0133,0,0,909.144,363.114,370.221,1063.725,0,0
,,1878,20.90067832,135.937964,0,0,1.010268,0.998986,-4.046342,0.0131,0,0,902.033,363.102,370.183,1063.719,0,0
,,1879,20.90009057,134.681191,0,0,1.010853,0.994183,-4.030485,0.0128,0,0,900.521,363.1,370.214,1063.709,0,0
,,1880,20.89994087,134.967695,0,0,1.011361,1.001361,-4.09289,0.0137,0,0,900.427,363.146,370.28,1063.689,0,0
,,1881,20.9008225,135.538061,0,0,1.011885,1.005323,-4.044873,0.0131,0,0,904.345,363.212,370.307,1063.704,0,0
,,1882,20.90133659,135.067268,0,0,1.011657,0.995153,-4.042134,0.0118,0,0,901.03,363.193,370.294,1063.693,0,0
,,1883,20.90112304,134.891607,0,0,1.011885,1.005671,-4.10062,0.0133,0,0,895.854,363.182,370.287,1063.656,0,0
,,1884,20.90075318,135.386993,0,0,1.012427,1.00916,-4.027839,0.0114,0,0,892.764,363.207,370.312,1063.604,0,0
,,1885,20.90009057,136.25594,0,0,1.012131,1.000756,-4.047049,0.0126,0,0,898.749,363.191,370.297,1063.532,0,0
,,1886,20.90023474,136.968088,0,0,1.012737,0.999942,-4.136064,0.0132,0,0,906.837,363.172,370.287,1063.494,0,0
,,1887,20.90060347,136.552703,0,0,1.012436,1.008021,-4.018715,0.0111,0,0,902.399,363.185,370.295,1063.468,0,0
,,1888,20.90126608,135.416915,0,0,1.012819,1.006454,-4.063918,0.0122,0,0,882.468,363.176,370.249,1063.433,0,0
,,1889,20.9011219,135.697122,0,0,1.013614,0.996264,-4.123584,0.0128,0,0,890.465,363.121,370.201,1063.381,0,0
,,1890,20.90075752,134.994196,0,0,1.014032,1.007625,-4.07685,0.0095,0,0,907.107,363.089,370.163,1063.306,0,0
,,1891,20.90009285,135.654995,0,0,1.014215,1.002788,-4.088097,0.0105,0,0,903.898,363.088,370.17,1063.221,0,0
,,1892,20.90141025,135.318887,0,0,1.014406,0.998567,-4.120638,0.0116,0,0,896.091,363.118,370.195,1063.228,0,0
,,1893,20.90296002,135.345411,0,0,1.013872,1.005137,-4.108815,0.0124,0,0,897.729,363.143,370.231,1063.192,0,0
,,1894,20.90296555,135.412311,0,0,1.014208,1.011584,-4.119926,0.0122,0,0,896.866,363.165,370.239,1063.187,0,0
,,1895,20.9028907,135.893786,0,0,1.014308,0.99994,-4.069778,0.0113,0,0,898.47,363.149,370.198,1063.202,0,0
,,1896,20.90259682,136.055763,0,0,1.01405,1.002865,-4.11868,0.0128,0,0,909.621,363.134,370.168,1063.246,0,0
,,1897,20.90222809,135.789435,0,0,1.014146,1.01351,-4.134223,0.0127,0,0,906.014,363.116,370.184,1063.301,0,0
,,1898,20.90215324,134.650118,0,0,1.014256,1.001223,-4.073548,0.0097,0,0,912.287,363.134,370.202,1063.308,0,0
,,1899,20.90303487,135.812371,0,0,1.015101,1.005467,-4.141717,0.0106,0,0,899.758,363.143,370.203,1063.336,0,0
,,1900,20.90296555,136.278341,0,0,1.015311,1.009928,-4.120359,0.0105,0,0,905.951,363.131,370.233,1063.376,0,0
,,1901,20.90318457,135.345347,0,0,1.015242,1.006788,-4.062152,0.0129,0,0,903.616,363.169,370.256,1063.358,0,0
,,1902,20.90267167,135.531398,0,0,1.01534,1.000522,-4.177193,0.0123,0,0,912.258,363.198,370.285,1063.326,0,0
,,1903,20.90222809,135.927323,0,0,1.014818,1.009786,-4.128957,0.0105,0,0,903.647,363.205,370.259,1063.334,0,0
,,1904,20.90215324,136.448662,0,0,1.015895,1.006961,-4.054257,0.01,0,0,905.067,363.192,370.261,1063.299,0,0
,,1905,20.90274099,136.088718,0,0,1.015653,0.997812,-4.16756,0.01,0,0,911.296,363.168,370.238,1063.272,0,0
,,1906,20.90436008,136.041424,0,0,1.01549,1.008225,-4.144916,0.0122,0,0,909.608,363.142,370.229,1063.249,0,0
,,1907,20.90444046,135.965717,0,0,1.015507,1.009611,-4.050289,0.0124,0,0,909.884,363.168,370.257,1063.248,0,0
,,1908,20.90407173,136.425781,0,0,1.015651,1.007169,-4.147049,0.0131,0,0,916.941,363.162,370.269,1063.243,0,0
,,1909,20.90399688,136.522994,0,0,1.015732,1.000912,-4.126596,0.0119,0,0,916.237,363.172,370.284,1063.238,0,0
,,1910,20.90458463,135.588284,0,0,1.016387,1.014042,-4.087331,0.0126,0,0,903.767,363.166,370.265,1063.29,0,0
,,1911,20.90502821,134.949848,0,0,1.016045,1.002501,-4.141587,0.0129,0,0,916.175,363.18,370.285,1063.284,0,0
,,1912,20.90510307,135.061691,0,0,1.016284,1.004808,-4.123429,0.0118,0,0,922.852,363.151,370.258,1063.298,0,0
,,1913,20.90451531,136.417192,0,0,1.01663,1.016114,-4.124658,0.0115,0,0,913.66,363.156,370.266,1063.276,0,0
,,1914,20.90436561,136.654125,0,0,1.016258,1.007757,-4.084506,0.0109,0,0,909.176,363.186,370.292,1063.273,0,0
